[05-Jun-2017 16:32:55 UTC] PHP Parse error:  syntax error, unexpected ''wordpre' (T_ENCAPSED_AND_WHITESPACE) in /home/u259071589/public_html/wp-content/plugins/akismet2/class.akismet.php on line 95
[05-Jun-2017 17:22:20 UTC] PHP Warning:  require_once(/home/u259071589/public_html/wp-content/themes/dt-presscore/inc/classes/widgets-custom-menu.class.php): failed to open stream: No such file or directory in /home/u259071589/public_html/wp-content/themes/dt-presscore/inc/init.php on line 144
[05-Jun-2017 17:22:22 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/u259071589/public_html/wp-content/themes/dt-presscore/inc/classes/widgets-custom-menu.class.php' (include_path='.:/opt/php-5.6/pear') in /home/u259071589/public_html/wp-content/themes/dt-presscore/inc/init.php on line 144
[05-Jun-2017 17:41:46 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:49:21 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:49:33 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:49:58 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:50:16 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:50:26 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:50:46 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:50:55 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:51:08 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:51:34 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:51:46 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:51:57 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 17:52:05 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 18:08:44 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 18:25:13 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 18:25:20 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 18:25:38 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 19:13:05 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 20:21:22 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 20:32:47 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 21:55:48 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 21:57:42 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3508
[05-Jun-2017 21:57:42 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 21:57:47 UTC] PHP Notice:  Undefined offset: 1 in /home/u259071589/public_html/wp-admin/includes/dashboard.php on line 1077
[05-Jun-2017 21:58:00 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3508
[05-Jun-2017 21:58:01 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 21:58:25 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3508
[05-Jun-2017 21:58:25 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3282
[05-Jun-2017 21:58:40 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3508
